[31900/100000] batch loss : 0.7740 | time : 4.76s
[32000/100000] batch loss : 1.1451 | time : 4.73s
[32100/100000] batch loss : 2.1572 | time : 4.79s
[32200/100000] batch loss : 1.3357 | time : 4.71s
[32300/100000] batch loss : 1.0687 | time : 4.76s
[32400/100000] batch loss : 0.8114 | time : 4.72s
[32500/100000] batch loss : 1.4890 | time : 4.75s
[32600/100000] batch loss : 0.9627 | time : 4.73s
[32700/100000] batch loss : 1.4936 | time : 4.71s
[32800/100000] batch loss : 1.2624 | time : 5.39s
[32900/100000] batch loss : 0.4502 | time : 5.01s
[33000/100000] batch loss : 1.0247 | time : 4.75s
[33100/100000] batch loss : 0.6620 | time : 4.70s
[33200/100000] batch loss : 0.9207 | time : 4.74s
[33300/100000] batch loss : 1.0558 | time : 4.71s
[33400/100000] batch loss : 1.2472 | time : 4.70s
[33500/100000] batch loss : 0.8414 | time : 4.76s
[33600/100000] batch loss : 0.5634 | time : 4.72s
[33700/100000] batch loss : 1.2189 | time : 4.73s
[33800/100000] batch loss : 1.5166 | time : 4.71s
[33900/100000] batch loss : 0.3444 | time : 4.94s
[34000/100000] batch loss : 1.5463 | time : 5.04s
[34100/100000] batch loss : 1.3917 | time : 4.75s
[34200/100000] batch loss : 1.8393 | time : 4.69s
[34300/100000] batch loss : 1.4424 | time : 4.73s
[34400/100000] batch loss : 0.6056 | time : 4.74s
[34500/100000] batch loss : 0.8609 | time : 4.70s
[34600/100000] batch loss : 1.4206 | time : 4.71s
[34700/100000] batch loss : 1.1691 | time : 4.72s
[34800/100000] batch loss : 2.0717 | time : 4.75s
[34900/100000] batch loss : 0.6203 | time : 4.73s
[35000/100000] batch loss : 2.1509 | time : 4.72s
[35100/100000] batch loss : 1.5800 | time : 4.99s
[35200/100000] batch loss : 1.0692 | time : 5.08s
[35300/100000] batch loss : 1.1315 | time : 5.08s
[35400/100000] batch loss : 0.6789 | time : 5.07s
[35500/100000] batch loss : 0.9701 | time : 5.17s
[35600/100000] batch loss : 0.6512 | time : 5.08s
[35700/100000] batch loss : 1.3293 | time : 5.13s
[35800/100000] batch loss : 0.9344 | time : 5.05s
[35900/100000] batch loss : 2.5019 | time : 5.09s
[36000/100000] batch loss : 1.3173 | time : 5.06s
[36100/100000] batch loss : 1.0178 | time : 4.79s
[36200/100000] batch loss : 0.8429 | time : 4.71s
[36300/100000] batch loss : 0.9586 | time : 4.70s
